query,metodo,patron,total_postings,tiempo_seg
yahoo messenger,con_skip,t1 AND t2,40,0.000015850
map quest,sin_skip,t1 AND t2,466,0.000084767
map quest,con_skip,t1 AND t2,466,0.000092936
neptune retrograde,sin_skip,t1 AND t2,13,0.000007680
neptune retrograde,con_skip,t1 AND t2,13,0.000011870
rufus wainwright,sin_skip,t1 AND t2,10,0.000005726
rufus wainwright,con_skip,t1 AND t2,10,0.000007122
tom cruise,sin_skip,t1 AND t2,108,0.000021366
tom cruise,con_skip,t1 AND t2,108,0.000031979
magic teens,sin_skip,t1 AND t2,74,0.000021506
magic teens,con_skip,t1 AND t2,74,0.000030094
society finch,sin_skip,t1 AND t2,192,0.000031002
society finch,con_skip,t1 AND t2,192,0.000029047
1741 1741,sin_skip,t1 AND t2,14,0.000006703
1741 1741,con_skip,t1 AND t2,14,0.000009008
colonial bank,sin_skip,t1 AND t2,140,0.000033864
colonial bank,con_skip,t1 AND t2,140,0.000054741
reading eagle,sin_skip,t1 AND t2,245,0.000070522
reading eagle,con_skip,t1 AND t2,245,0.000084067
free excel,sin_skip,t1 AND t2,6052,0.000779723
free excel,con_skip,t1 AND t2,6052,0.000153682
verizon wireless,sin_skip,t1 AND t2,24,0.000009008
verizon wireless,con_skip,t1 AND t2,24,0.000007681
breaker high,sin_skip,t1 AND t2,580,0.000033794
breaker high,con_skip,t1 AND t2,580,0.000011102
apple cake,sin_skip,t1 AND t2,43,0.000011312
apple cake,con_skip,t1 AND t2,43,0.000016269
sony laptop,sin_skip,t1 AND t2,34,0.000009078
sony laptop,con_skip,t1 AND t2,34,0.000012010
ana guerra,sin_skip,t1 AND t2,9,0.000005167
ana guerra,con_skip,t1 AND t2,9,0.000006634
irs gov,sin_skip,t1 AND t2,11,0.000005376
irs gov,con_skip,t1 AND t2,11,0.000006633
saratoga racetrack,sin_skip,t1 AND t2,13,0.000005586
saratoga racetrack,con_skip,t1 AND t2,13,0.000007541
payment services,sin_skip,t1 AND t2,267,0.000044687
payment services,con_skip,t1 AND t2,267,0.000042802
spanish quotes,sin_skip,t1 AND t2,242,0.000042453
spanish quotes,con_skip,t1 AND t2,242,0.000064936
american airline,sin_skip,t1 AND t2,842,0.000123937
american airline,con_skip,t1 AND t2,842,0.000086303
dungeon lords,sin_skip,t1 AND t2,34,0.000008938
dungeon lords,con_skip,t1 AND t2,34,0.000049715
delta song,sin_skip,t1 AND t2,414,0.000078551
delta song,con_skip,t1 AND t2,414,0.000111229
trailer tires,sin_skip,t1 AND t2,35,0.000011870
trailer tires,con_skip,t1 AND t2,35,0.000014942
jamaica gleaner,sin_skip,t1 AND t2,33,0.000010823
jamaica gleaner,con_skip,t1 AND t2,33,0.000007610
asheville oasis,sin_skip,t1 AND t2,17,0.000008588
asheville oasis,con_skip,t1 AND t2,17,0.000011451
marijuana buds,sin_skip,t1 AND t2,13,0.000008099
marijuana buds,con_skip,t1 AND t2,13,0.000010473
questar telescopes,sin_skip,t1 AND t2,9,0.000006773
questar telescopes,con_skip,t1 AND t2,9,0.000007541
58 plymouth,sin_skip,t1 AND t2,185,0.000040498
58 plymouth,con_skip,t1 AND t2,185,0.000035330
johnny knoxville,sin_skip,t1 AND t2,24,0.000010055
johnny knoxville,con_skip,t1 AND t2,24,0.000014663
yahoo maps,sin_skip,t1 AND t2,799,0.000165203
yahoo maps,con_skip,t1 AND t2,799,0.000118631
uru faq,sin_skip,t1 AND t2,29,0.000009985
uru faq,con_skip,t1 AND t2,29,0.000012498
detroit casinos,sin_skip,t1 AND t2,54,0.000015082
detroit casinos,con_skip,t1 AND t2,54,0.000016339
basketball layout,sin_skip,t1 AND t2,143,0.000034074
basketball layout,con_skip,t1 AND t2,143,0.000057465
posing suits,sin_skip,t1 AND t2,17,0.000007751
posing suits,con_skip,t1 AND t2,17,0.000009426
bennie dexter,sin_skip,t1 AND t2,9,0.000005796
bennie dexter,con_skip,t1 AND t2,9,0.000019481
trinity partners,sin_skip,t1 AND t2,62,0.000014035
trinity partners,con_skip,t1 AND t2,62,0.000020738
katie holmes,sin_skip,t1 AND t2,18,0.000006354
katie holmes,con_skip,t1 AND t2,18,0.000009008
screen names,sin_skip,t1 AND t2,483,0.000073873
screen names,con_skip,t1 AND t2,483,0.000123518
aol wallpaper,sin_skip,t1 AND t2,15,0.000006145
aol wallpaper,con_skip,t1 AND t2,15,0.000007611
migratory cancer,sin_skip,t1 AND t2,69,0.000014104
migratory cancer,con_skip,t1 AND t2,69,0.000023112
daily motivator,sin_skip,t1 AND t2,105,0.000009915
daily motivator,con_skip,t1 AND t2,105,0.000007122
carrie underwood,sin_skip,t1 AND t2,13,0.000006703
carrie underwood,con_skip,t1 AND t2,13,0.000008937
lava life,sin_skip,t1 AND t2,682,0.000131897
lava life,con_skip,t1 AND t2,682,0.000060119
morocco visa,sin_skip,t1 AND t2,49,0.000014802
morocco visa,con_skip,t1 AND t2,49,0.000018014
sims skins,sin_skip,t1 AND t2,6052,0.000892906
sims skins,con_skip,t1 AND t2,6052,0.000213102
holiday inn,sin_skip,t1 AND t2,73,0.000021157
holiday inn,con_skip,t1 AND t2,73,0.000031980
debt consolidation,sin_skip,t1 AND t2,45,0.000014314
debt consolidation,con_skip,t1 AND t2,45,0.000021086
screen names,sin_skip,t1 AND t2,483,0.000115559
screen names,con_skip,t1 AND t2,483,0.000166740
screen saver,sin_skip,t1 AND t2,84,0.000021297
screen saver,con_skip,t1 AND t2,84,0.000011032
baby ducks,sin_skip,t1 AND t2,63,0.000015292
baby ducks,con_skip,t1 AND t2,63,0.000016409
poker free,sin_skip,t1 AND t2,6052,0.000993593
poker free,con_skip,t1 AND t2,6052,0.000176514
cheap flights,sin_skip,t1 AND t2,43,0.000014244
cheap flights,con_skip,t1 AND t2,43,0.000020947
melody 49,sin_skip,t1 AND t2,349,0.000064936
melody 49,con_skip,t1 AND t2,349,0.000075758
dominic purcell,sin_skip,t1 AND t2,9,0.000007262
dominic purcell,con_skip,t1 AND t2,9,0.000009426
yahoo vom,sin_skip,t1 AND t2,31,0.000010404
yahoo vom,con_skip,t1 AND t2,31,0.000012429
sony playstation,sin_skip,t1 AND t2,49,0.000014314
sony playstation,con_skip,t1 AND t2,49,0.000022274
birthday cards,sin_skip,t1 AND t2,110,0.000027650
birthday cards,con_skip,t1 AND t2,110,0.000045735
music aol,sin_skip,t1 AND t2,788,0.000162061
music aol,con_skip,t1 AND t2,788,0.000063400
sterling ny,sin_skip,t1 AND t2,119,0.000028139
sterling ny,con_skip,t1 AND t2,119,0.000043989
michael goldberg,sin_skip,t1 AND t2,121,0.000016199
michael goldberg,con_skip,t1 AND t2,121,0.000015082
sea food,sin_skip,t1 AND t2,347,0.000076317
sea food,con_skip,t1 AND t2,347,0.000139228
midland mortgage,sin_skip,t1 AND t2,20,0.000008658
midland mortgage,con_skip,t1 AND t2,20,0.000012359
model galleries,sin_skip,t1 AND t2,224,0.000047690
model galleries,con_skip,t1 AND t2,224,0.000066193
orlando bloom,sin_skip,t1 AND t2,34,0.000009635
orlando bloom,con_skip,t1 AND t2,34,0.000014104
word whomp,sin_skip,t1 AND t2,203,0.000034842
word whomp,con_skip,t1 AND t2,203,0.000060537
tom cruise,sin_skip,t1 AND t2,108,0.000026673
tom cruise,con_skip,t1 AND t2,108,0.000039730
brooke burke,sin_skip,t1 AND t2,18,0.000008030
brooke burke,con_skip,t1 AND t2,18,0.000008449
chevrolet tahoe,sin_skip,t1 AND t2,5,0.000005167
chevrolet tahoe,con_skip,t1 AND t2,5,0.000006703
quizzes teen,sin_skip,t1 AND t2,19,0.000006773
quizzes teen,con_skip,t1 AND t2,19,0.000008658
progressive insurance,sin_skip,t1 AND t2,80,0.000021087
progressive insurance,con_skip,t1 AND t2,80,0.000069964
time shares,sin_skip,t1 AND t2,1508,0.000260163
time shares,con_skip,t1 AND t2,1508,0.000291793
bear share,sin_skip,t1 AND t2,172,0.000040637
bear share,con_skip,t1 AND t2,172,0.000067171
ford escape,sin_skip,t1 AND t2,145,0.000035261
ford escape,con_skip,t1 AND t2,145,0.000056906
eternal aphrodite,sin_skip,t1 AND t2,18,0.000006144
eternal aphrodite,con_skip,t1 AND t2,18,0.000006633
food service,sin_skip,t1 AND t2,573,0.000110740
food service,con_skip,t1 AND t2,573,0.000202628
ashley benson,sin_skip,t1 AND t2,24,0.000010124
ashley benson,con_skip,t1 AND t2,24,0.000016129
julie ryan,sin_skip,t1 AND t2,40,0.000012987
julie ryan,con_skip,t1 AND t2,40,0.000017456
alias brothers,sin_skip,t1 AND t2,95,0.000023949
alias brothers,con_skip,t1 AND t2,95,0.000031001
ivan nagy,sin_skip,t1 AND t2,12,0.000006493
ivan nagy,con_skip,t1 AND t2,12,0.000008029
animal dvd,sin_skip,t1 AND t2,302,0.000068497
animal dvd,con_skip,t1 AND t2,302,0.000116186
anti virus,sin_skip,t1 AND t2,83,0.000021715
anti virus,con_skip,t1 AND t2,83,0.000036657
jennifer garner,sin_skip,t1 AND t2,16,0.000007192
jennifer garner,con_skip,t1 AND t2,16,0.000010962
africa chat,sin_skip,t1 AND t2,143,0.000027232
africa chat,con_skip,t1 AND t2,143,0.000032887
michael griffith,sin_skip,t1 AND t2,133,0.000024508
michael griffith,con_skip,t1 AND t2,133,0.000028069
movie times,sin_skip,t1 AND t2,645,0.000124705
movie times,con_skip,t1 AND t2,645,0.000217640
lawrence sullivan,sin_skip,t1 AND t2,79,0.000021506
lawrence sullivan,con_skip,t1 AND t2,79,0.000036658
nyc hospitals,sin_skip,t1 AND t2,64,0.000018573
nyc hospitals,con_skip,t1 AND t2,64,0.000029606
credit score,sin_skip,t1 AND t2,181,0.000039451
credit score,con_skip,t1 AND t2,181,0.000062213
yahoo es,sin_skip,t1 AND t2,648,0.000126870
yahoo es,con_skip,t1 AND t2,648,0.000095938
americanairlines vacations,sin_skip,t1 AND t2,7,0.000006144
americanairlines vacations,con_skip,t1 AND t2,7,0.000007261
bolivia newspaper,sin_skip,t1 AND t2,180,0.000033864
bolivia newspaper,con_skip,t1 AND t2,180,0.000043570
weather channel,sin_skip,t1 AND t2,177,0.000031840
weather channel,con_skip,t1 AND t2,177,0.000052508
gamecube roms,sin_skip,t1 AND t2,4,0.000004678
gamecube roms,con_skip,t1 AND t2,4,0.000005655
sean john,sin_skip,t1 AND t2,400,0.000064378
sean john,con_skip,t1 AND t2,400,0.000072477
funny videos,sin_skip,t1 AND t2,87,0.000017735
funny videos,con_skip,t1 AND t2,87,0.000025276
brad pitt,sin_skip,t1 AND t2,15,0.000007052
brad pitt,con_skip,t1 AND t2,15,0.000008937
skate tours,sin_skip,t1 AND t2,73,0.000016129
skate tours,con_skip,t1 AND t2,73,0.000018573
strawberry shortcake,sin_skip,t1 AND t2,3,0.000004329
strawberry shortcake,con_skip,t1 AND t2,3,0.000005656
nj hotels,sin_skip,t1 AND t2,53,0.000013337
nj hotels,con_skip,t1 AND t2,53,0.000021366
amazon music,sin_skip,t1 AND t2,792,0.000125613
amazon music,con_skip,t1 AND t2,792,0.000090352
aerial photos,sin_skip,t1 AND t2,1559,0.000208843
aerial photos,con_skip,t1 AND t2,1559,0.000266238
halle berry,sin_skip,t1 AND t2,21,0.000010474
halle berry,con_skip,t1 AND t2,21,0.000020947
homeschooling portfolios,sin_skip,t1 AND t2,5,0.000005167
homeschooling portfolios,con_skip,t1 AND t2,5,0.000006563
good guys,sin_skip,t1 AND t2,326,0.000140695
good guys,con_skip,t1 AND t2,326,0.000061026
mexican mafia,sin_skip,t1 AND t2,69,0.000017316
mexican mafia,con_skip,t1 AND t2,69,0.000022344
skull tattoo,sin_skip,t1 AND t2,30,0.000010892
skull tattoo,con_skip,t1 AND t2,30,0.000014593
ford mustang,sin_skip,t1 AND t2,55,0.000013825
ford mustang,con_skip,t1 AND t2,55,0.000021855
sharp televisions,sin_skip,t1 AND t2,42,0.000013406
sharp televisions,con_skip,t1 AND t2,42,0.000017526
brazil flags,sin_skip,t1 AND t2,164,0.000036518
brazil flags,con_skip,t1 AND t2,164,0.000046643
shakespearean forest,sin_skip,t1 AND t2,102,0.000014802
shakespearean forest,con_skip,t1 AND t2,102,0.000012917
puppet works,sin_skip,t1 AND t2,381,0.000064797
puppet works,con_skip,t1 AND t2,381,0.000040149
pic hunter,sin_skip,t1 AND t2,55,0.000015781
pic hunter,con_skip,t1 AND t2,55,0.000022553
fish identification,sin_skip,t1 AND t2,106,0.000027581
fish identification,con_skip,t1 AND t2,106,0.000044478
kyra sedgwick,sin_skip,t1 AND t2,5,0.000005656
kyra sedgwick,con_skip,t1 AND t2,5,0.000006982
eye drops,sin_skip,t1 AND t2,139,0.000031910
eye drops,con_skip,t1 AND t2,139,0.000069964
ragnarok online,sin_skip,t1 AND t2,160,0.000032398
ragnarok online,con_skip,t1 AND t2,160,0.000016758
josh hubert,sin_skip,t1 AND t2,9,0.000006703
josh hubert,con_skip,t1 AND t2,9,0.000008519
modest mouse,sin_skip,t1 AND t2,78,0.000021016
modest mouse,con_skip,t1 AND t2,78,0.000034702
club pogo,sin_skip,t1 AND t2,293,0.000031909
club pogo,con_skip,t1 AND t2,293,0.000016549
erase history,sin_skip,t1 AND t2,1228,0.000179796
erase history,con_skip,t1 AND t2,1228,0.000057396
rent movie,sin_skip,t1 AND t2,227,0.000039101
rent movie,con_skip,t1 AND t2,227,0.000032887
tanks restorations,sin_skip,t1 AND t2,32,0.000007192
tanks restorations,con_skip,t1 AND t2,32,0.000007262
chih dogs,sin_skip,t1 AND t2,33,0.000006703
chih dogs,con_skip,t1 AND t2,33,0.000007262
princess cruise,sin_skip,t1 AND t2,65,0.000015291
princess cruise,con_skip,t1 AND t2,65,0.000023880
discovery channel,sin_skip,t1 AND t2,221,0.000040707
discovery channel,con_skip,t1 AND t2,221,0.000060817
medical discharge,sin_skip,t1 AND t2,164,0.000028628
medical discharge,con_skip,t1 AND t2,164,0.000041755
vital records,sin_skip,t1 AND t2,273,0.000044827
vital records,con_skip,t1 AND t2,273,0.000055230
claude parsons,sin_skip,t1 AND t2,23,0.000007261
claude parsons,con_skip,t1 AND t2,23,0.000010404
scanner codes,sin_skip,t1 AND t2,180,0.000031072
scanner codes,con_skip,t1 AND t2,180,0.000019761
duran duran,sin_skip,t1 AND t2,2,0.000003841
duran duran,con_skip,t1 AND t2,2,0.000046223
train stations,sin_skip,t1 AND t2,306,0.000061026
train stations,con_skip,t1 AND t2,306,0.000099150
vegas hotels,sin_skip,t1 AND t2,34,0.000012289
vegas hotels,con_skip,t1 AND t2,34,0.000016828
kolomna russia,sin_skip,t1 AND t2,165,0.000023041
kolomna russia,con_skip,t1 AND t2,165,0.000013336
dorm pizza,sin_skip,t1 AND t2,14,0.000008519
dorm pizza,con_skip,t1 AND t2,14,0.000010124
yahoo games,sin_skip,t1 AND t2,329,0.000068078
yahoo games,con_skip,t1 AND t2,329,0.000076806
murrays auto,sin_skip,t1 AND t2,867,0.000103479
murrays auto,con_skip,t1 AND t2,867,0.000023461
buddy list,sin_skip,t1 AND t2,1736,0.000301569
buddy list,con_skip,t1 AND t2,1736,0.000075060
sam ash,sin_skip,t1 AND t2,70,0.000019830
sam ash,con_skip,t1 AND t2,70,0.000030513
identifying pills,sin_skip,t1 AND t2,25,0.000010125
identifying pills,con_skip,t1 AND t2,25,0.000014104
circuit city,sin_skip,t1 AND t2,814,0.000153543
circuit city,con_skip,t1 AND t2,814,0.000208075
keith urban,sin_skip,t1 AND t2,143,0.000033306
keith urban,con_skip,t1 AND t2,143,0.000051041
respiratory therapist,sin_skip,t1 AND t2,10,0.000006214
respiratory therapist,con_skip,t1 AND t2,10,0.000007471
office chairs,sin_skip,t1 AND t2,349,0.000067589
office chairs,con_skip,t1 AND t2,349,0.000084627
cayuga dressage,sin_skip,t1 AND t2,6,0.000005376
cayuga dressage,con_skip,t1 AND t2,6,0.000006633
birth certificate,sin_skip,t1 AND t2,484,0.000076387
birth certificate,con_skip,t1 AND t2,484,0.000058931
texas lottery,sin_skip,t1 AND t2,176,0.000038193
texas lottery,con_skip,t1 AND t2,176,0.000033236
barnes noble,sin_skip,t1 AND t2,75,0.000018573
barnes noble,con_skip,t1 AND t2,75,0.000030513
music recording,sin_skip,t1 AND t2,903,0.000176165
music recording,con_skip,t1 AND t2,903,0.000186359
charlie reese,sin_skip,t1 AND t2,27,0.000008938
charlie reese,con_skip,t1 AND t2,27,0.000013337
musica cristiana,sin_skip,t1 AND t2,7,0.000004818
musica cristiana,con_skip,t1 AND t2,7,0.000006075
tattoo skull,sin_skip,t1 AND t2,30,0.000008728
tattoo skull,con_skip,t1 AND t2,30,0.000011870
dsl providers,sin_skip,t1 AND t2,18,0.000006703
dsl providers,con_skip,t1 AND t2,18,0.000006005
vending machines,sin_skip,t1 AND t2,38,0.000009636
vending machines,con_skip,t1 AND t2,38,0.000008519
lyons club,sin_skip,t1 AND t2,300,0.000049645
lyons club,con_skip,t1 AND t2,300,0.000029535
people search,sin_skip,t1 AND t2,7902,0.001401014
people search,con_skip,t1 AND t2,7902,0.002185555
national geographic,sin_skip,t1 AND t2,1179,0.000217431
national geographic,con_skip,t1 AND t2,1179,0.000379563
tom cruise,sin_skip,t1 AND t2,108,0.000022413
tom cruise,con_skip,t1 AND t2,108,0.000033865
evanescence whisper,sin_skip,t1 AND t2,3,0.000004329
evanescence whisper,con_skip,t1 AND t2,3,0.000004748
map quest,sin_skip,t1 AND t2,466,0.000086442
map quest,con_skip,t1 AND t2,466,0.000075829
billy gilman,sin_skip,t1 AND t2,19,0.000006074
billy gilman,con_skip,t1 AND t2,19,0.000008169
auto trader,sin_skip,t1 AND t2,877,0.000118910
auto trader,con_skip,t1 AND t2,877,0.000054881
pbs kids,sin_skip,t1 AND t2,76,0.000015571
pbs kids,con_skip,t1 AND t2,76,0.000024508
club pogo,sin_skip,t1 AND t2,293,0.000031980
club pogo,con_skip,t1 AND t2,293,0.000016828
wedding centerpieces,sin_skip,t1 AND t2,47,0.000004329
wedding centerpieces,con_skip,t1 AND t2,47,0.000005726
paris hilton,sin_skip,t1 AND t2,166,0.000022553
paris hilton,con_skip,t1 AND t2,166,0.000015221
cb south,sin_skip,t1 AND t2,514,0.000082811
cb south,con_skip,t1 AND t2,514,0.000118212
key west,sin_skip,t1 AND t2,597,0.000104317
key west,con_skip,t1 AND t2,597,0.000154869
alexander movie,sin_skip,t1 AND t2,275,0.000046852
alexander movie,con_skip,t1 AND t2,275,0.000070173
funny jokes,sin_skip,t1 AND t2,31,0.000008239
funny jokes,con_skip,t1 AND t2,31,0.000013755
contact aol,sin_skip,t1 AND t2,107,0.000021366
contact aol,con_skip,t1 AND t2,107,0.000023740
qatar locale,sin_skip,t1 AND t2,31,0.000008938
qatar locale,con_skip,t1 AND t2,31,0.000013407
papa johns,sin_skip,t1 AND t2,30,0.000011032
papa johns,con_skip,t1 AND t2,30,0.000018084
soul music,sin_skip,t1 AND t2,839,0.000155567
soul music,con_skip,t1 AND t2,839,0.000200185
wwii ships,sin_skip,t1 AND t2,123,0.000042522
wwii ships,con_skip,t1 AND t2,123,0.000040428
madonna wallpaper,sin_skip,t1 AND t2,15,0.000007611
madonna wallpaper,con_skip,t1 AND t2,15,0.000009984
myrtle beach,sin_skip,t1 AND t2,62,0.000014175
myrtle beach,con_skip,t1 AND t2,62,0.000009636
marijuana plants,sin_skip,t1 AND t2,97,0.000021506
marijuana plants,con_skip,t1 AND t2,97,0.000025346
vera bradley,sin_skip,t1 AND t2,20,0.000007681
vera bradley,con_skip,t1 AND t2,20,0.000010822
prison rape,sin_skip,t1 AND t2,88,0.000020878
prison rape,con_skip,t1 AND t2,88,0.000030094
cardinal virtues,sin_skip,t1 AND t2,43,0.000026743
cardinal virtues,con_skip,t1 AND t2,43,0.000021995
pen pals,sin_skip,t1 AND t2,31,0.000009845
pen pals,con_skip,t1 AND t2,31,0.000013895
phil bradley,sin_skip,t1 AND t2,31,0.000010962
phil bradley,con_skip,t1 AND t2,31,0.000016687
patchy pumpkin,sin_skip,t1 AND t2,3,0.000005167
patchy pumpkin,con_skip,t1 AND t2,3,0.000006215
campylobacter isolation,sin_skip,t1 AND t2,28,0.000009217
campylobacter isolation,con_skip,t1 AND t2,28,0.000008518
photo oft,sin_skip,t1 AND t2,86,0.000016758
photo oft,con_skip,t1 AND t2,86,0.000014314
deck railing,sin_skip,t1 AND t2,31,0.000009147
deck railing,con_skip,t1 AND t2,31,0.000011381
driving direction,sin_skip,t1 AND t2,215,0.000047620
driving direction,con_skip,t1 AND t2,215,0.000111718
lila downs,sin_skip,t1 AND t2,9,0.000005237
lila downs,con_skip,t1 AND t2,9,0.000006284
mens briefs,sin_skip,t1 AND t2,22,0.000005726
mens briefs,con_skip,t1 AND t2,22,0.000008030
gazebo installation,sin_skip,t1 AND t2,33,0.000007122
gazebo installation,con_skip,t1 AND t2,33,0.000006633
soap operas,sin_skip,t1 AND t2,45,0.000010054
soap operas,con_skip,t1 AND t2,45,0.000018084
collection agency,sin_skip,t1 AND t2,289,0.000049645
collection agency,con_skip,t1 AND t2,289,0.000069474
1953 mercury,sin_skip,t1 AND t2,229,0.000039031
1953 mercury,con_skip,t1 AND t2,229,0.000051390
ny lottery,sin_skip,t1 AND t2,107,0.000024997
ny lottery,con_skip,t1 AND t2,107,0.000024508
nextel forums,sin_skip,t1 AND t2,21,0.000006633
nextel forums,con_skip,t1 AND t2,21,0.000008239
allen tate,sin_skip,t1 AND t2,69,0.000018783
allen tate,con_skip,t1 AND t2,69,0.000029046
inspirational stories,sin_skip,t1 AND t2,153,0.000033376
inspirational stories,con_skip,t1 AND t2,153,0.000028070
official website,sin_skip,t1 AND t2,1486,0.000278946
official website,con_skip,t1 AND t2,1486,0.000447151
crystal meth,sin_skip,t1 AND t2,57,0.000014872
crystal meth,con_skip,t1 AND t2,57,0.000018922
photoshop tutorials,sin_skip,t1 AND t2,6,0.000005307
photoshop tutorials,con_skip,t1 AND t2,6,0.000005796
southwest airlines,sin_skip,t1 AND t2,119,0.000023391
southwest airlines,con_skip,t1 AND t2,119,0.000037704
hal kelley,sin_skip,t1 AND t2,15,0.000007681
hal kelley,con_skip,t1 AND t2,15,0.000010544
prom dresses,sin_skip,t1 AND t2,7,0.000005726
prom dresses,con_skip,t1 AND t2,7,0.000009147
auto zone,sin_skip,t1 AND t2,1165,0.000233142
auto zone,con_skip,t1 AND t2,1165,0.000438284
georgia fireworks,sin_skip,t1 AND t2,133,0.000029605
georgia fireworks,con_skip,t1 AND t2,133,0.000031490
map quest,sin_skip,t1 AND t2,466,0.000089095
map quest,con_skip,t1 AND t2,466,0.000091539
santos sanchez,sin_skip,t1 AND t2,17,0.000007681
santos sanchez,con_skip,t1 AND t2,17,0.000011590
hell ya,sin_skip,t1 AND t2,61,0.000012987
hell ya,con_skip,t1 AND t2,61,0.000018504
sport authority,sin_skip,t1 AND t2,317,0.000054393
sport authority,con_skip,t1 AND t2,317,0.000093844
cartoon network,sin_skip,t1 AND t2,221,0.000035330
cartoon network,con_skip,t1 AND t2,221,0.000052298
mickey dolenz,sin_skip,t1 AND t2,11,0.000004189
mickey dolenz,con_skip,t1 AND t2,11,0.000004748
waco isd,sin_skip,t1 AND t2,25,0.000010543
waco isd,con_skip,t1 AND t2,25,0.000016758
yahoo messenger,sin_skip,t1 AND t2,40,0.000012778
yahoo messenger,con_skip,t1 AND t2,40,0.000018713
gator ford,sin_skip,t1 AND t2,52,0.000013965
gator ford,con_skip,t1 AND t2,52,0.000015990
ray stark,sin_skip,t1 AND t2,67,0.000017735
ray stark,con_skip,t1 AND t2,67,0.000026742
anne geddes,sin_skip,t1 AND t2,19,0.000006703
anne geddes,con_skip,t1 AND t2,19,0.000009147
rome climate,sin_skip,t1 AND t2,150,0.000034353
rome climate,con_skip,t1 AND t2,150,0.000056976
naruto chats,sin_skip,t1 AND t2,4,0.000005795
naruto chats,con_skip,t1 AND t2,4,0.000007122
cartoon characters,sin_skip,t1 AND t2,288,0.000051390
cartoon characters,con_skip,t1 AND t2,288,0.000068777
steel specifications,sin_skip,t1 AND t2,116,0.000028208
steel specifications,con_skip,t1 AND t2,116,0.000046363
cell phones,sin_skip,t1 AND t2,104,0.000022343
cell phones,con_skip,t1 AND t2,104,0.000031351
ink refills,sin_skip,t1 AND t2,26,0.000009427
ink refills,con_skip,t1 AND t2,26,0.000009077
sharon homes,sin_skip,t1 AND t2,69,0.000015222
sharon homes,con_skip,t1 AND t2,69,0.000021366
southwest airlines,sin_skip,t1 AND t2,119,0.000029326
southwest airlines,con_skip,t1 AND t2,119,0.000048318
psychogenic polydipsia,sin_skip,t1 AND t2,2,0.000004818
psychogenic polydipsia,con_skip,t1 AND t2,2,0.000006284
catholic homeschooling,sin_skip,t1 AND t2,90,0.000022414
catholic homeschooling,con_skip,t1 AND t2,90,0.000012359
dr phil,sin_skip,t1 AND t2,62,0.000017595
dr phil,con_skip,t1 AND t2,62,0.000021576
cif gov,sin_skip,t1 AND t2,10,0.000006285
cif gov,con_skip,t1 AND t2,10,0.000007611
karma sutra,sin_skip,t1 AND t2,6,0.000005167
karma sutra,con_skip,t1 AND t2,6,0.000018084
amerie rollin,sin_skip,t1 AND t2,7,0.000006145
amerie rollin,con_skip,t1 AND t2,7,0.000007750
dvd decoder,sin_skip,t1 AND t2,132,0.000017107
dvd decoder,con_skip,t1 AND t2,132,0.000009985
vida guerra,sin_skip,t1 AND t2,12,0.000007611
vida guerra,con_skip,t1 AND t2,12,0.000011033
valley fever,sin_skip,t1 AND t2,89,0.000024299
valley fever,con_skip,t1 AND t2,89,0.000038962
harlem diplomats,sin_skip,t1 AND t2,19,0.000007751
harlem diplomats,con_skip,t1 AND t2,19,0.000012289
college stuff,sin_skip,t1 AND t2,331,0.000078761
college stuff,con_skip,t1 AND t2,331,0.000058722
toon disney,sin_skip,t1 AND t2,31,0.000008449
toon disney,con_skip,t1 AND t2,31,0.000007681
carolina pottery,sin_skip,t1 AND t2,25,0.000009705
carolina pottery,con_skip,t1 AND t2,25,0.000014174
ana mia,sin_skip,t1 AND t2,14,0.000006703
ana mia,con_skip,t1 AND t2,14,0.000008938
nascar autographs,sin_skip,t1 AND t2,14,0.000006215
nascar autographs,con_skip,t1 AND t2,14,0.000008170
king tut,sin_skip,t1 AND t2,273,0.000053834
king tut,con_skip,t1 AND t2,273,0.000014942
pulmonary hypertension,sin_skip,t1 AND t2,7,0.000006633
pulmonary hypertension,con_skip,t1 AND t2,7,0.000007681
pets health,sin_skip,t1 AND t2,188,0.000043710
pets health,con_skip,t1 AND t2,188,0.000047550
herbal life,sin_skip,t1 AND t2,683,0.000116326
herbal life,con_skip,t1 AND t2,683,0.000075758
national university,sin_skip,t1 AND t2,1130,0.000192504
national university,con_skip,t1 AND t2,1130,0.000315464
ashtabula ohio,sin_skip,t1 AND t2,103,0.000007122
ashtabula ohio,con_skip,t1 AND t2,103,0.000008239
gardening tips,sin_skip,t1 AND t2,31,0.000008868
gardening tips,con_skip,t1 AND t2,31,0.000013406
movie times,sin_skip,t1 AND t2,645,0.000101524
movie times,con_skip,t1 AND t2,645,0.000172395
weight gain,sin_skip,t1 AND t2,257,0.000044268
weight gain,con_skip,t1 AND t2,257,0.000074712
clinton investments,sin_skip,t1 AND t2,41,0.000013336
clinton investments,con_skip,t1 AND t2,41,0.000019480
downloading songs,sin_skip,t1 AND t2,270,0.000043920
downloading songs,con_skip,t1 AND t2,270,0.000029047
enlarged spleen,sin_skip,t1 AND t2,28,0.000009077
enlarged spleen,con_skip,t1 AND t2,28,0.000011382
ufo 800,sin_skip,t1 AND t2,50,0.000012568
ufo 800,con_skip,t1 AND t2,50,0.000015990
spokane motels,sin_skip,t1 AND t2,12,0.000007122
spokane motels,con_skip,t1 AND t2,12,0.000009007
