query,patron,total_postings,tiempo_seg,tiempo_seg_str
alcoholics anonymous,t1 OR t2,3848,"0,001415988",0.001415988
gab insurance,t1 OR t2,38,"0,000115164",0.000115164
washington nationals,t1 OR t2,268,"0,000178578",0.000178578
garden planning,t1 OR t2,146,"0,000172433",0.000172433
landscape gateways,t1 OR t2,60,"0,000125920",0.000125920
richard hamilton,t1 OR t2,180,"0,000120612",0.000120612
gwinnett library,t1 OR t2,133,"0,000135698",0.000135698
delta airlines,t1 OR t2,90,"0,000169849",0.000169849
houston chronicle,t1 OR t2,66,"0,000162516",0.000162516
charlie pride,t1 OR t2,59,"0,000210355",0.000210355
channel strip,t1 OR t2,161,"0,000145475",0.000145475
vacuum pumps,t1 OR t2,26,"0,000108669",0.000108669
houston furniture,t1 OR t2,66,"0,000153436",0.000153436
ozark tents,t1 OR t2,3,"0,000146033",0.000146033
velvet revolver,t1 OR t2,11,"0,000087857",0.000087857
jessica simpson,t1 OR t2,30,"0,000146593",0.000146593
tiny firewall,t1 OR t2,36,"0,000114047",0.000114047
breast cysts,t1 OR t2,17,"0,000086531",0.000086531
dragon games,t1 OR t2,344,"0,000200368",0.000200368
minnesota fats,t1 OR t2,71,"0,000120682",0.000120682
greeting cards,t1 OR t2,58,"0,000117818",0.000117818
blackberry farm,t1 OR t2,77,"0,000164331",0.000164331
la apartments,t1 OR t2,311,"0,000210844",0.000210844
dakota fanning,t1 OR t2,11,"0,000107761",0.000107761
kerri russell,t1 OR t2,36,"0,000114886",0.000114886
joe caldwell,t1 OR t2,49,"0,000118238",0.000118238
erotic stories,t1 OR t2,153,"0,000145685",0.000145685
laguna beach,t1 OR t2,65,"0,000659282",0.000659282
gary gaming,t1 OR t2,80,"0,000130949",0.000130949
ashley furniture,t1 OR t2,32,"0,000115025",0.000115025
china vacations,t1 OR t2,217,"0,000161537",0.000161537
truck paper,t1 OR t2,163,"0,000156579",0.000156579
yahoo launch,t1 OR t2,97,"0,000167195",0.000167195
allen looney,t1 OR t2,59,"0,000194572",0.000194572
toronto star,t1 OR t2,254,"0,000143240",0.000143240
rosenblatt stadium,t1 OR t2,64,"0,000122149",0.000122149
superman logo,t1 OR t2,229,"0,000198063",0.000198063
tomahawk lakes,t1 OR t2,84,"0,000156509",0.000156509
create cookbook,t1 OR t2,184,"0,000154345",0.000154345
snoop dogg,t1 OR t2,5,"0,000125432",0.000125432
texas lottery,t1 OR t2,176,"0,000151201",0.000151201
paris hilton,t1 OR t2,166,"0,000185563",0.000185563
investment groups,t1 OR t2,358,"0,000206234",0.000206234
horton homes,t1 OR t2,66,"0,000118656",0.000118656
garden design,t1 OR t2,304,"0,000185074",0.000185074
senator durbin,t1 OR t2,55,"0,000155532",0.000155532
christa miller,t1 OR t2,49,"0,000125012",0.000125012
hugh ross,t1 OR t2,49,"0,000156440",0.000156440
grand ma,t1 OR t2,152,"0,000234170",0.000234170
tim palmer,t1 OR t2,126,"0,000136675",0.000136675
bellevue ranch,t1 OR t2,16,"0,000107761",0.000107761
red potatoes,t1 OR t2,283,"0,000187029",0.000187029
european auto,t1 OR t2,1116,"0,000370427",0.000370427
miguel cardoso,t1 OR t2,19,"0,000138141",0.000138141
online translator,t1 OR t2,183,"0,000155672",0.000155672
mature screen,t1 OR t2,118,"0,000140307",0.000140307
celtic knot,t1 OR t2,42,"0,000114327",0.000114327
kevin james,t1 OR t2,222,"0,000164122",0.000164122
mx tabs,t1 OR t2,4,"0,000146872",0.000146872
people search,t1 OR t2,7902,"0,002676653",0.002676653
loft beds,t1 OR t2,18,"0,000127387",0.000127387
stone mountain,t1 OR t2,235,"0,000206864",0.000206864
rainbow shoppers,t1 OR t2,19,"0,000109368",0.000109368
great depression,t1 OR t2,393,"0,000297375",0.000297375
jacksonville beach,t1 OR t2,84,"0,000126409",0.000126409
super hero,t1 OR t2,113,"0,000132974",0.000132974
deer feeders,t1 OR t2,16,"0,000125431",0.000125431
pogo games,t1 OR t2,303,"0,000216710",0.000216710
amber tamblyn,t1 OR t2,12,"0,000125920",0.000125920
louisville mojo,t1 OR t2,37,"0,000146383",0.000146383
danbury hospital,t1 OR t2,120,"0,000138910",0.000138910
fairy art,t1 OR t2,301,"0,000188426",0.000188426
internet chess,t1 OR t2,110,"0,000134231",0.000134231
car music,t1 OR t2,997,"0,000416520",0.000416520
disney online,t1 OR t2,188,"0,000194782",0.000194782
rachel mcadams,t1 OR t2,14,"0,000143590",0.000143590
eros movie,t1 OR t2,221,"0,000244157",0.000244157
esquire magazine,t1 OR t2,245,"0,000167404",0.000167404
wanted ads,t1 OR t2,148,"0,000150154",0.000150154
buckle repair,t1 OR t2,32,"0,000113559",0.000113559
universal studios,t1 OR t2,82,"0,000105946",0.000105946
nazareth college,t1 OR t2,321,"0,000304987",0.000304987
acer notebooks,t1 OR t2,12,"0,000112441",0.000112441
vanessa carlton,t1 OR t2,16,"0,000108809",0.000108809
jane march,t1 OR t2,1436,"0,000654951",0.000654951
yahoo games,t1 OR t2,329,"0,000192756",0.000192756
mel cottons,t1 OR t2,7,"0,000105527",0.000105527
usa today,t1 OR t2,608,"0,000320073",0.000320073
amateur boys,t1 OR t2,139,"0,000141634",0.000141634
trainspotting movie,t1 OR t2,217,"0,000169290",0.000169290
historic site,t1 OR t2,675,"0,000307502",0.000307502
pet cages,t1 OR t2,27,"0,000130041",0.000130041
map quest,t1 OR t2,466,"0,000330688",0.000330688
calendar 2005,t1 OR t2,1192,"0,000486988",0.000486988
victor webster,t1 OR t2,55,"0,000118796",0.000118796
double beds,t1 OR t2,140,"0,000155671",0.000155671
frontier airlines,t1 OR t2,67,"0,000139539",0.000139539
liver diet,t1 OR t2,47,"0,001815677",0.001815677
united airlines,t1 OR t2,217,"0,000170267",0.000170267
imax movies,t1 OR t2,107,"0,000135138",0.000135138
consumer reviews,t1 OR t2,210,"0,000161468",0.000161468
stuff magazine,t1 OR t2,258,"0,000178788",0.000178788
50 cent,t1 OR t2,1448,"0,000552777",0.000552777
espn horseracing,t1 OR t2,30,"0,000128365",0.000128365
learning measurement,t1 OR t2,116,"0,000144008",0.000144008
jessica rabbit,t1 OR t2,22,"0,000111114",0.000111114
oasis lyrics,t1 OR t2,89,"0,000158395",0.000158395
glades knight,t1 OR t2,50,"0,000118237",0.000118237
tanning loft,t1 OR t2,5,"0,000103292",0.000103292
pinnacle bank,t1 OR t2,100,"0,000133183",0.000133183
verizon wireless,t1 OR t2,24,"0,000112999",0.000112999
delta airlines,t1 OR t2,90,"0,000132206",0.000132206
smiley faces,t1 OR t2,68,"0,000162725",0.000162725
lyme disease,t1 OR t2,89,"0,000163564",0.000163564
final destination,t1 OR t2,417,"0,000259243",0.000259243
registration codes,t1 OR t2,200,"0,000170687",0.000170687
pal joey,t1 OR t2,22,"0,000104758",0.000104758
georgia lakes,t1 OR t2,203,"0,000160560",0.000160560
erotic arts,t1 OR t2,210,"0,000192057",0.000192057
dragon pictures,t1 OR t2,131,"0,000156859",0.000156859
cheap tickets,t1 OR t2,53,"0,000119494",0.000119494
mag auction,t1 OR t2,20,"0,000214826",0.000214826
chicago pneumatic,t1 OR t2,132,"0,000118866",0.000118866
candies shoes,t1 OR t2,12,"0,000122498",0.000122498
maxim magazine,t1 OR t2,278,"0,000180325",0.000180325
fence gate,t1 OR t2,58,"0,000119635",0.000119635
organization chart,t1 OR t2,6168,"0,002176536",0.002176536
monroe county,t1 OR t2,377,"0,000270906",0.000270906
gardening supplies,t1 OR t2,59,"0,000118727",0.000118727
love poems,t1 OR t2,319,"0,000188635",0.000188635
irish invitations,t1 OR t2,120,"0,000185911",0.000185911
pretty models,t1 OR t2,108,"0,000138840",0.000138840
post standard,t1 OR t2,432,"0,000295279",0.000295279
cars babes,t1 OR t2,73,"0,000213149",0.000213149
club safari,t1 OR t2,301,"0,000180464",0.000180464
window tinting,t1 OR t2,6044,"0,002121502",0.002121502
holiday inn,t1 OR t2,73,"0,000130739",0.000130739
free astrology,t1 OR t2,6049,"0,002088957",0.002088957
maine vacation,t1 OR t2,58,"0,000128504",0.000128504
map quest,t1 OR t2,466,"0,000244157",0.000244157
greatest american,t1 OR t2,908,"0,000385791",0.000385791
faith promise,t1 OR t2,112,"0,000311342",0.000311342
anniversary prints,t1 OR t2,72,"0,000168451",0.000168451
carolina beach,t1 OR t2,77,"0,000204698",0.000204698
chelsea charms,t1 OR t2,25,"0,000116282",0.000116282
ginny hen,t1 OR t2,9,"0,000103571",0.000103571
weis markets,t1 OR t2,60,"0,000115444",0.000115444
katie holmes,t1 OR t2,18,"0,000105177",0.000105177
universal design,t1 OR t2,290,"0,000180324",0.000180324
gas lantern,t1 OR t2,75,"0,000154205",0.000154205
mortgage calculator,t1 OR t2,11,"0,000132624",0.000132624
nys unemployment,t1 OR t2,16,"0,000119704",0.000119704
gothic poetry,t1 OR t2,111,"0,000109508",0.000109508
omsk russia,t1 OR t2,166,"0,000182699",0.000182699
regions bank,t1 OR t2,329,"0,000155183",0.000155183
learn graffiti,t1 OR t2,73,"0,000100988",0.000100988
air brakes,t1 OR t2,250,"0,000170547",0.000170547
diaper instructions,t1 OR t2,27,"0,000156440",0.000156440
labyrinth downloads,t1 OR t2,6,"0,000167055",0.000167055
sports agents,t1 OR t2,345,"0,000221460",0.000221460
jordan capri,t1 OR t2,56,"0,000119216",0.000119216
blt prime,t1 OR t2,58,"0,000116840",0.000116840
homecoming dresses,t1 OR t2,9,"0,000103641",0.000103641
swiss cheese,t1 OR t2,68,"0,000146452",0.000146452
latino festival,t1 OR t2,175,"0,000173061",0.000173061
family fun,t1 OR t2,890,"0,000407372",0.000407372
charities challenge,t1 OR t2,79,"0,000164960",0.000164960
bow wow,t1 OR t2,36,"0,000864817",0.000864817
science magazine,t1 OR t2,548,"0,000296537",0.000296537
greenville tech,t1 OR t2,40,"0,000095261",0.000095261
lbc tv,t1 OR t2,346,"0,000228514",0.000228514
food lion,t1 OR t2,176,"0,000154554",0.000154554
modular homes,t1 OR t2,67,"0,000212870",0.000212870
shiz su,t1 OR t2,33,"0,000207980",0.000207980
poison ivy,t1 OR t2,27,"0,000108111",0.000108111
mason storm,t1 OR t2,84,"0,000126338",0.000126338
united airline,t1 OR t2,199,"0,000191779",0.000191779
bad dates,t1 OR t2,192,"0,000195619",0.000195619
expo electronics,t1 OR t2,47,"0,000147780",0.000147780
daisy duke,t1 OR t2,94,"0,000126898",0.000126898
discount airlines,t1 OR t2,62,"0,000174249",0.000174249
mike tyson,t1 OR t2,65,"0,000124453",0.000124453
elven bard,t1 OR t2,6,"0,000102035",0.000102035
kingdom hearts,t1 OR t2,371,"0,000243878",0.000243878
southwest airlines,t1 OR t2,119,"0,000173481",0.000173481
audi usa,t1 OR t2,301,"0,000186890",0.000186890
lg tv,t1 OR t2,349,"0,000194432",0.000194432
lottery tennessee,t1 OR t2,73,"0,000122847",0.000122847
spade game,t1 OR t2,371,"0,000208191",0.000208191
myspace layouts,t1 OR t2,49,"0,000174388",0.000174388
unleashed movie,t1 OR t2,225,"0,000166775",0.000166775
quentin tarantino,t1 OR t2,19,"0,000133812",0.000133812
honeycomb board,t1 OR t2,252,"0,000214336",0.000214336
electric scooters,t1 OR t2,76,"0,000138980",0.000138980
interstate 84,t1 OR t2,182,"0,000192547",0.000192547
dolly land,t1 OR t2,399,"0,000311064",0.000311064
blood vows,t1 OR t2,127,"0,000153227",0.000153227
emily lloyd,t1 OR t2,22,"0,000111044",0.000111044
guthrie theater,t1 OR t2,87,"0,000121590",0.000121590
gregory brown,t1 OR t2,177,"0,000193873",0.000193873
free movies,t1 OR t2,6144,"0,002162707",0.002162707
catholic composers,t1 OR t2,142,"0,000159862",0.000159862
music downloads,t1 OR t2,780,"0,000362465",0.000362465
ear training,t1 OR t2,226,"0,000300657",0.000300657
algebra solutions,t1 OR t2,43,"0,000112302",0.000112302
bush jokes,t1 OR t2,68,"0,000123685",0.000123685
akron usps,t1 OR t2,9,"0,000132066",0.000132066
continental airlines,t1 OR t2,74,"0,000123546",0.000123546
bird repellent,t1 OR t2,84,"0,000123616",0.000123616
daisy duke,t1 OR t2,94,"0,000161468",0.000161468
cheap tickets,t1 OR t2,53,"0,000121660",0.000121660
anime girl,t1 OR t2,140,"0,000167055",0.000167055
virginia beach,t1 OR t2,172,"0,000220203",0.000220203
pool paint,t1 OR t2,84,"0,000139958",0.000139958
360 dance,t1 OR t2,148,"0,000186960",0.000186960
luigi large,t1 OR t2,678,"0,000380204",0.000380204
nat turner,t1 OR t2,34,"0,000113209",0.000113209
scout springs,t1 OR t2,53,"0,000138630",0.000138630
big butts,t1 OR t2,386,"0,000207980",0.000207980
tri met,t1 OR t2,187,"0,000185493",0.000185493
nbc news,t1 OR t2,402,"0,000214616",0.000214616
maryland university,t1 OR t2,662,"0,000287946",0.000287946
tennis calf,t1 OR t2,62,"0,000123546",0.000123546
punta cana,t1 OR t2,7,"0,000106296",0.000106296
popcorn song,t1 OR t2,375,"0,000213009",0.000213009
cheap tickets,t1 OR t2,53,"0,000150433",0.000150433
map quest,t1 OR t2,466,"0,000256031",0.000256031
chrysler crossfire,t1 OR t2,11,"0,000109298",0.000109298
unbound bible,t1 OR t2,49,"0,000120473",0.000120473
slot machines,t1 OR t2,57,"0,000166077",0.000166077
tropical beverages,t1 OR t2,73,"0,000101686",0.000101686
harris bank,t1 OR t2,130,"0,000143520",0.000143520
wedding invitations,t1 OR t2,52,"0,000126408",0.000126408
international movers,t1 OR t2,383,"0,000216222",0.000216222
sas radisson,t1 OR t2,7,"0,000141145",0.000141145
monroe college,t1 OR t2,356,"0,000211543",0.000211543
tina cherian,t1 OR t2,2,"0,000131926",0.000131926
websites game,t1 OR t2,400,"0,000226977",0.000226977
football rules,t1 OR t2,494,"0,000248767",0.000248767
copycat recipes,t1 OR t2,9,"0,000108809",0.000108809
longest yard,t1 OR t2,94,"0,000160141",0.000160141
removing wallpaper,t1 OR t2,51,"0,000116003",0.000116003
century 21,t1 OR t2,1456,"0,000574357",0.000574357
anthony schools,t1 OR t2,314,"0,000192756",0.000192756
ralph lauren,t1 OR t2,12,"0,000117819",0.000117819
animal anatomy,t1 OR t2,215,"0,000204559",0.000204559
auto response,t1 OR t2,990,"0,000523514",0.000523514
panda scan,t1 OR t2,26,"0,000127596",0.000127596
weather report,t1 OR t2,6103,"0,002205169",0.002205169
yvonne craig,t1 OR t2,22,"0,000110555",0.000110555
anesthesiology news,t1 OR t2,348,"0,000204558",0.000204558
baby showers,t1 OR t2,61,"0,000120333",0.000120333
terrace bc,t1 OR t2,594,"0,000277959",0.000277959
free logo,t1 OR t2,6252,"0,002227867",0.002227867
marlin perkins,t1 OR t2,13,"0,000112161",0.000112161
paris hilton,t1 OR t2,166,"0,000148897",0.000148897
dominican consulate,t1 OR t2,19,"0,000114676",0.000114676
game spot,t1 OR t2,444,"0,000250931",0.000250931
bobs girls,t1 OR t2,80,"0,000141773",0.000141773
strip blackjack,t1 OR t2,47,"0,000128783",0.000128783
virus control,t1 OR t2,316,"0,003580511",0.003580511
yahoo messenger,t1 OR t2,40,"0,000117400",0.000117400
map quest,t1 OR t2,466,"0,000269440",0.000269440
neptune retrograde,t1 OR t2,13,"0,000158116",0.000158116
rufus wainwright,t1 OR t2,10,"0,000089185",0.000089185
tom cruise,t1 OR t2,108,"0,000137862",0.000137862
magic teens,t1 OR t2,74,"0,000121031",0.000121031
society finch,t1 OR t2,192,"0,000176064",0.000176064
1741 1741,t1 OR t2,14,"0,000078639",0.000078639
colonial bank,t1 OR t2,140,"0,000146872",0.000146872
reading eagle,t1 OR t2,245,"0,000226558",0.000226558
free excel,t1 OR t2,6052,"0,001917992",0.001917992
verizon wireless,t1 OR t2,24,"0,000111533",0.000111533
breaker high,t1 OR t2,580,"0,000301425",0.000301425
apple cake,t1 OR t2,43,"0,000115445",0.000115445
sony laptop,t1 OR t2,34,"0,000115794",0.000115794
ana guerra,t1 OR t2,9,"0,000087718",0.000087718
irs gov,t1 OR t2,11,"0,000084575",0.000084575
saratoga racetrack,t1 OR t2,13,"0,000106504",0.000106504
payment services,t1 OR t2,267,"0,000184166",0.000184166
spanish quotes,t1 OR t2,242,"0,000191918",0.000191918
american airline,t1 OR t2,842,"0,000356179",0.000356179
dungeon lords,t1 OR t2,34,"0,000169430",0.000169430
delta song,t1 OR t2,414,"0,000179277",0.000179277
trailer tires,t1 OR t2,35,"0,000116003",0.000116003
jamaica gleaner,t1 OR t2,33,"0,000284315",0.000284315
asheville oasis,t1 OR t2,17,"0,000110066",0.000110066
marijuana buds,t1 OR t2,13,"0,000123057",0.000123057
questar telescopes,t1 OR t2,9,"0,000223276",0.000223276
58 plymouth,t1 OR t2,185,"0,000174459",0.000174459
johnny knoxville,t1 OR t2,24,"0,000112232",0.000112232
yahoo maps,t1 OR t2,799,"0,000372103",0.000372103
uru faq,t1 OR t2,29,"0,000119495",0.000119495
detroit casinos,t1 OR t2,54,"0,000159583",0.000159583
basketball layout,t1 OR t2,143,"0,000150643",0.000150643
posing suits,t1 OR t2,17,"0,000108740",0.000108740
bennie dexter,t1 OR t2,9,"0,000086252",0.000086252
trinity partners,t1 OR t2,62,"0,000123266",0.000123266
katie holmes,t1 OR t2,18,"0,000214546",0.000214546
screen names,t1 OR t2,483,"0,000349685",0.000349685
aol wallpaper,t1 OR t2,15,"0,000108600",0.000108600
migratory cancer,t1 OR t2,69,"0,000128365",0.000128365
daily motivator,t1 OR t2,105,"0,000134580",0.000134580
carrie underwood,t1 OR t2,13,"0,000147361",0.000147361
lava life,t1 OR t2,682,"0,000256728",0.000256728
morocco visa,t1 OR t2,49,"0,000101266",0.000101266
sims skins,t1 OR t2,6052,"0,002125833",0.002125833
holiday inn,t1 OR t2,73,"0,000137443",0.000137443
debt consolidation,t1 OR t2,45,"0,000122359",0.000122359
screen names,t1 OR t2,483,"0,000208609",0.000208609
screen saver,t1 OR t2,84,"0,000148478",0.000148478
baby ducks,t1 OR t2,63,"0,000098613",0.000098613
poker free,t1 OR t2,6052,"0,002014230",0.002014230
cheap flights,t1 OR t2,43,"0,000098543",0.000098543
melody 49,t1 OR t2,349,"0,000345913",0.000345913
dominic purcell,t1 OR t2,9,"0,000112022",0.000112022
yahoo vom,t1 OR t2,31,"0,000116771",0.000116771
sony playstation,t1 OR t2,49,"0,000127177",0.000127177
birthday cards,t1 OR t2,110,"0,000137583",0.000137583
music aol,t1 OR t2,788,"0,000344097",0.000344097
sterling ny,t1 OR t2,119,"0,000141075",0.000141075
michael goldberg,t1 OR t2,121,"0,000139608",0.000139608
sea food,t1 OR t2,347,"0,000248418",0.000248418
midland mortgage,t1 OR t2,20,"0,000146034",0.000146034
model galleries,t1 OR t2,224,"0,000284035",0.000284035
orlando bloom,t1 OR t2,34,"0,000092607",0.000092607
word whomp,t1 OR t2,203,"0,000158395",0.000158395
tom cruise,t1 OR t2,108,"0,000127736",0.000127736
brooke burke,t1 OR t2,18,"0,000104270",0.000104270
chevrolet tahoe,t1 OR t2,5,"0,000103152",0.000103152
quizzes teen,t1 OR t2,19,"0,001988738",0.001988738
progressive insurance,t1 OR t2,80,"0,000138421",0.000138421
time shares,t1 OR t2,1508,"0,000639167",0.000639167
bear share,t1 OR t2,172,"0,000153437",0.000153437
ford escape,t1 OR t2,145,"0,000148199",0.000148199
eternal aphrodite,t1 OR t2,18,"0,000112162",0.000112162
food service,t1 OR t2,573,"0,000277610",0.000277610
ashley benson,t1 OR t2,24,"0,000176554",0.000176554
julie ryan,t1 OR t2,40,"0,000137932",0.000137932
alias brothers,t1 OR t2,95,"0,000135767",0.000135767
ivan nagy,t1 OR t2,12,"0,000107902",0.000107902
animal dvd,t1 OR t2,302,"0,000208749",0.000208749
anti virus,t1 OR t2,83,"0,000132065",0.000132065
jennifer garner,t1 OR t2,16,"0,000165519",0.000165519
africa chat,t1 OR t2,143,"0,000195410",0.000195410
michael griffith,t1 OR t2,133,"0,000182211",0.000182211
movie times,t1 OR t2,645,"0,000328313",0.000328313
lawrence sullivan,t1 OR t2,79,"0,000127108",0.000127108
nyc hospitals,t1 OR t2,64,"0,000130110",0.000130110
credit score,t1 OR t2,181,"0,000163982",0.000163982
yahoo es,t1 OR t2,648,"0,000337532",0.000337532
americanairlines vacations,t1 OR t2,7,"0,000108181",0.000108181
bolivia newspaper,t1 OR t2,180,"0,000179836",0.000179836
weather channel,t1 OR t2,177,"0,000180814",0.000180814
gamecube roms,t1 OR t2,4,"0,000238430",0.000238430
sean john,t1 OR t2,400,"0,000274678",0.000274678
funny videos,t1 OR t2,87,"0,000126339",0.000126339
brad pitt,t1 OR t2,15,"0,000106854",0.000106854
skate tours,t1 OR t2,73,"0,000148618",0.000148618
strawberry shortcake,t1 OR t2,3,"0,000126898",0.000126898
nj hotels,t1 OR t2,53,"0,000135278",0.000135278
amazon music,t1 OR t2,792,"0,000375525",0.000375525
aerial photos,t1 OR t2,1559,"0,000722485",0.000722485
halle berry,t1 OR t2,21,"0,000217898",0.000217898
homeschooling portfolios,t1 OR t2,5,"0,000165309",0.000165309
good guys,t1 OR t2,326,"0,000196527",0.000196527
mexican mafia,t1 OR t2,69,"0,000252818",0.000252818
skull tattoo,t1 OR t2,30,"0,000118238",0.000118238
ford mustang,t1 OR t2,55,"0,000122568",0.000122568
sharp televisions,t1 OR t2,42,"0,000134650",0.000134650
brazil flags,t1 OR t2,164,"0,000156789",0.000156789
shakespearean forest,t1 OR t2,102,"0,000133882",0.000133882
puppet works,t1 OR t2,381,"0,000383835",0.000383835
pic hunter,t1 OR t2,55,"0,000118726",0.000118726
fish identification,t1 OR t2,106,"0,000266506",0.000266506
kyra sedgwick,t1 OR t2,5,"0,000103641",0.000103641
eye drops,t1 OR t2,139,"0,000147430",0.000147430
ragnarok online,t1 OR t2,160,"0,000159582",0.000159582
josh hubert,t1 OR t2,9,"0,000107133",0.000107133
modest mouse,t1 OR t2,78,"0,000144916",0.000144916
club pogo,t1 OR t2,293,"0,000185073",0.000185073
erase history,t1 OR t2,1228,"0,000489852",0.000489852
rent movie,t1 OR t2,227,"0,000312320",0.000312320
tanks restorations,t1 OR t2,32,"0,000121101",0.000121101
chih dogs,t1 OR t2,33,"0,000115444",0.000115444
princess cruise,t1 OR t2,65,"0,000177461",0.000177461
discovery channel,t1 OR t2,221,"0,000188845",0.000188845
medical discharge,t1 OR t2,164,"0,000133323",0.000133323
vital records,t1 OR t2,273,"0,000329291",0.000329291
claude parsons,t1 OR t2,23,"0,000111603",0.000111603
scanner codes,t1 OR t2,180,"0,000157697",0.000157697
duran duran,t1 OR t2,2,"0,000106156",0.000106156
train stations,t1 OR t2,306,"0,000212730",0.000212730
vegas hotels,t1 OR t2,34,"0,000118168",0.000118168
kolomna russia,t1 OR t2,165,"0,000249046",0.000249046
dorm pizza,t1 OR t2,14,"0,000088975",0.000088975
yahoo games,t1 OR t2,329,"0,000173620",0.000173620
murrays auto,t1 OR t2,867,"0,000387118",0.000387118
buddy list,t1 OR t2,1736,"0,000771163",0.000771163
sam ash,t1 OR t2,70,"0,000124942",0.000124942
identifying pills,t1 OR t2,25,"0,002207684",0.002207684
circuit city,t1 OR t2,814,"0,000390820",0.000390820
keith urban,t1 OR t2,143,"0,000125990",0.000125990
respiratory therapist,t1 OR t2,10,"0,000134930",0.000134930
office chairs,t1 OR t2,349,"0,000220971",0.000220971
cayuga dressage,t1 OR t2,6,"0,000105457",0.000105457
birth certificate,t1 OR t2,484,"0,000257985",0.000257985
texas lottery,t1 OR t2,176,"0,000156439",0.000156439
barnes noble,t1 OR t2,75,"0,000133881",0.000133881
music recording,t1 OR t2,903,"0,000415543",0.000415543
charlie reese,t1 OR t2,27,"0,000119914",0.000119914
musica cristiana,t1 OR t2,7,"0,000243599",0.000243599
tattoo skull,t1 OR t2,30,"0,000114466",0.000114466
dsl providers,t1 OR t2,18,"0,000141843",0.000141843
vending machines,t1 OR t2,38,"0,000101337",0.000101337
lyons club,t1 OR t2,300,"0,000159093",0.000159093
people search,t1 OR t2,7902,"0,002742722",0.002742722
national geographic,t1 OR t2,1179,"0,000481261",0.000481261
tom cruise,t1 OR t2,108,"0,000137932",0.000137932
evanescence whisper,t1 OR t2,3,"0,000366236",0.000366236
map quest,t1 OR t2,466,"0,000353176",0.000353176
billy gilman,t1 OR t2,19,"0,000165029",0.000165029
auto trader,t1 OR t2,877,"0,000404927",0.000404927
pbs kids,t1 OR t2,76,"0,000127875",0.000127875
club pogo,t1 OR t2,293,"0,000192267",0.000192267
wedding centerpieces,t1 OR t2,47,"0,000123755",0.000123755
paris hilton,t1 OR t2,166,"0,000175645",0.000175645
cb south,t1 OR t2,514,"0,000303171",0.000303171
key west,t1 OR t2,597,"0,000399131",0.000399131
alexander movie,t1 OR t2,275,"0,000222368",0.000222368
funny jokes,t1 OR t2,31,"0,000133463",0.000133463
contact aol,t1 OR t2,107,"0,000106644",0.000106644
qatar locale,t1 OR t2,31,"0,000115165",0.000115165
papa johns,t1 OR t2,30,"0,000113698",0.000113698
soul music,t1 OR t2,839,"0,000358065",0.000358065
wwii ships,t1 OR t2,123,"0,000159093",0.000159093
madonna wallpaper,t1 OR t2,15,"0,000170756",0.000170756
myrtle beach,t1 OR t2,62,"0,000118936",0.000118936
marijuana plants,t1 OR t2,97,"0,000128783",0.000128783
vera bradley,t1 OR t2,20,"0,000160141",0.000160141
prison rape,t1 OR t2,88,"0,000131158",0.000131158
cardinal virtues,t1 OR t2,43,"0,000201346",0.000201346
pen pals,t1 OR t2,31,"0,000112441",0.000112441
phil bradley,t1 OR t2,31,"0,000111533",0.000111533
patchy pumpkin,t1 OR t2,3,"0,000180744",0.000180744
campylobacter isolation,t1 OR t2,28,"0,000192267",0.000192267
photo oft,t1 OR t2,86,"0,000104479",0.000104479
deck railing,t1 OR t2,31,"0,000132903",0.000132903
driving direction,t1 OR t2,215,"0,000188007",0.000188007
lila downs,t1 OR t2,9,"0,000107133",0.000107133
mens briefs,t1 OR t2,22,"0,000090442",0.000090442
gazebo installation,t1 OR t2,33,"0,000127806",0.000127806
soap operas,t1 OR t2,45,"0,000127316",0.000127316
collection agency,t1 OR t2,289,"0,000198553",0.000198553
1953 mercury,t1 OR t2,229,"0,000166636",0.000166636
ny lottery,t1 OR t2,107,"0,000164052",0.000164052
nextel forums,t1 OR t2,21,"0,000112232",0.000112232
allen tate,t1 OR t2,69,"0,000140866",0.000140866
inspirational stories,t1 OR t2,153,"0,000154344",0.000154344
official website,t1 OR t2,1486,"0,000954421",0.000954421
crystal meth,t1 OR t2,57,"0,000177462",0.000177462
photoshop tutorials,t1 OR t2,6,"0,000140795",0.000140795
southwest airlines,t1 OR t2,119,"0,000116771",0.000116771
hal kelley,t1 OR t2,15,"0,000153786",0.000153786
prom dresses,t1 OR t2,7,"0,000084994",0.000084994
auto zone,t1 OR t2,1165,"0,000368891",0.000368891
georgia fireworks,t1 OR t2,133,"0,000142541",0.000142541
map quest,t1 OR t2,466,"0,000381601",0.000381601
santos sanchez,t1 OR t2,17,"0,000114117",0.000114117
hell ya,t1 OR t2,61,"0,000121869",0.000121869
sport authority,t1 OR t2,317,"0,002226261",0.002226261
cartoon network,t1 OR t2,221,"0,000208958",0.000208958
mickey dolenz,t1 OR t2,11,"0,000147919",0.000147919
waco isd,t1 OR t2,25,"0,000125780",0.000125780
yahoo messenger,t1 OR t2,40,"0,000220762",0.000220762
gator ford,t1 OR t2,52,"0,000098333",0.000098333
ray stark,t1 OR t2,67,"0,000126409",0.000126409
anne geddes,t1 OR t2,19,"0,000093514",0.000093514
rome climate,t1 OR t2,150,"0,000311762",0.000311762
naruto chats,t1 OR t2,4,"0,000105247",0.000105247
cartoon characters,t1 OR t2,288,"0,000216432",0.000216432
steel specifications,t1 OR t2,116,"0,000132904",0.000132904
